,Blank,F22Jul19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Jul19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
288,0,0.066,0.066,15.1998,2.72128227,,0.034,0.034,15.6604,2.751135233,,0.036,0.036,8.2908,2.115146466,,0.091,0.091,20.9573,3.042487034,,0.042,0.042,19.3452,2.962444327,
289,0,0.065,0.065,14.9695,2.706014798,,0.034,0.034,15.6604,2.751135233,,0.036,0.036,8.2908,2.115146466,,0.09,0.09,20.727,3.031437198,,0.042,0.042,19.3452,2.962444327,
290,0,0.064,0.064,14.7392,2.690510611,,0.033,0.033,15.1998,2.72128227,,0.035,0.035,8.0605,2.086975589,,0.09,0.09,20.727,3.031437198,,0.041,0.041,18.8846,2.938346775,
291,0,0.063,0.063,14.5089,2.674762254,,0.033,0.033,15.1998,2.72128227,,0.035,0.035,8.0605,2.086975589,,0.089,0.089,20.4967,3.020263898,,0.041,0.041,18.8846,2.938346775,
292,0,0.063,0.063,14.5089,2.674762254,,0.032,0.032,14.7392,2.690510611,,0.035,0.035,8.0605,2.086975589,,0.089,0.089,20.4967,3.020263898,,0.041,0.041,18.8846,2.938346775,
293,0,0.062,0.062,14.2786,2.658761913,,0.032,0.032,14.7392,2.690510611,,0.034,0.034,7.8302,2.057988052,,0.088,0.088,20.2664,3.008964342,,0.041,0.041,18.8846,2.938346775,
294,0,0.061,0.061,14.0483,2.642501392,,0.031,0.031,14.2786,2.658761913,,0.034,0.034,7.8302,2.057988052,,0.088,0.088,20.2664,3.008964342,,0.04,0.04,18.424,2.913654163,
295,0,0.06,0.06,13.818,2.62597209,,0.031,0.031,14.2786,2.658761913,,0.034,0.034,7.8302,2.057988052,,0.087,0.087,20.0361,2.997535646,,0.04,0.04,18.424,2.913654163,
296,0,0.059,0.059,13.5877,2.609164972,,0.031,0.031,14.2786,2.658761913,,0.033,0.033,7.5999,2.028135089,,0.086,0.086,19.8058,2.985974824,,0.04,0.04,18.424,2.913654163,
297,0,0.059,0.059,13.5877,2.609164972,,0.03,0.03,13.818,2.62597209,,0.033,0.033,7.5999,2.028135089,,0.086,0.086,19.8058,2.985974824,,0.04,0.04,18.424,2.913654163,
