Wavelength nm.,MilliQ,C50_30sep24_01R1,C50_17feb25_15R1,CP2_15aug24_01R1,C50_28oct24_01R1,CP1_17feb25_01R1,C50_28oct24_6R1,C50_30sep24_15R1,CP1_17feb25_BOTR1,C50_30sep24_9R1,C50_30sep24_6R1,C50_28oct24_15R1,CC3_17feb25_01R2,C50_30sep24_20R1,C50_17feb25_01R1
376,0,0.007,0.014,0.013,0.007,0.007,0.008,0.005,0.009,0.008,0.008,0.007,0.008,0.005,0.007
377,0,0.007,0.014,0.012,0.007,0.007,0.008,0.005,0.008,0.008,0.008,0.006,0.007,0.005,0.007
378,0,0.007,0.014,0.012,0.007,0.007,0.008,0.005,0.008,0.008,0.008,0.006,0.007,0.005,0.007
379,0,0.007,0.014,0.012,0.006,0.007,0.008,0.005,0.008,0.008,0.008,0.006,0.007,0.005,0.007
380,0,0.006,0.014,0.012,0.006,0.007,0.007,0.004,0.008,0.008,0.007,0.006,0.007,0.005,0.007
381,0,0.006,0.014,0.012,0.006,0.007,0.007,0.004,0.008,0.008,0.007,0.006,0.007,0.005,0.007
382,0,0.006,0.014,0.011,0.006,0.007,0.007,0.004,0.008,0.008,0.007,0.006,0.007,0.004,0.007
383,0,0.006,0.013,0.011,0.006,0.007,0.007,0.004,0.008,0.007,0.007,0.006,0.007,0.004,0.007
384,0,0.006,0.013,0.011,0.006,0.007,0.007,0.004,0.007,0.007,0.007,0.006,0.007,0.004,0.006
385,0,0.006,0.013,0.011,0.006,0.007,0.007,0.004,0.008,0.007,0.007,0.006,0.006,0.004,0.006
386,0,0.006,0.013,0.011,0.005,0.006,0.007,0.004,0.007,0.007,0.007,0.006,0.006,0.004,0.006
387,0,0.006,0.013,0.011,0.005,0.006,0.007,0.004,0.007,0.007,0.007,0.006,0.006,0.004,0.006
388,0,0.006,0.013,0.011,0.005,0.006,0.007,0.004,0.007,0.007,0.007,0.005,0.006,0.004,0.006
389,0,0.006,0.013,0.011,0.005,0.006,0.007,0.004,0.007,0.007,0.007,0.005,0.006,0.004,0.006
390,0,0.006,0.013,0.011,0.005,0.006,0.007,0.004,0.007,0.007,0.006,0.005,0.006,0.004,0.006
391,0,0.006,0.012,0.01,0.005,0.006,0.006,0.004,0.007,0.006,0.006,0.005,0.006,0.003,0.006
392,0,0.006,0.012,0.01,0.005,0.006,0.006,0.004,0.007,0.006,0.006,0.005,0.005,0.003,0.006
393,0,0.006,0.012,0.01,0.005,0.006,0.006,0.003,0.007,0.006,0.006,0.005,0.005,0.003,0.005
394,0,0.006,0.012,0.01,0.005,0.006,0.006,0.003,0.006,0.006,0.006,0.005,0.005,0.003,0.005
395,0,0.005,0.012,0.01,0.005,0.006,0.006,0.003,0.006,0.006,0.006,0.005,0.005,0.003,0.005
396,0,0.005,0.012,0.01,0.005,0.005,0.006,0.003,0.006,0.006,0.006,0.004,0.005,0.003,0.005
397,0,0.005,0.012,0.01,0.004,0.005,0.006,0.003,0.006,0.006,0.006,0.004,0.005,0.003,0.005
