Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
358,0.001,0.011,0.012,0.011,0.009,0.01,0.011,0.009,0.009,0.008,0.009,0.009,0.008
359,0.001,0.011,0.011,0.011,0.008,0.01,0.011,0.009,0.009,0.008,0.009,0.008,0.008
360,0.001,0.011,0.011,0.011,0.008,0.009,0.01,0.009,0.008,0.008,0.009,0.008,0.008
361,0.001,0.01,0.011,0.011,0.008,0.009,0.01,0.009,0.008,0.008,0.009,0.008,0.007
362,0.001,0.01,0.011,0.01,0.008,0.009,0.01,0.009,0.008,0.008,0.009,0.008,0.007
363,0.001,0.01,0.011,0.01,0.008,0.009,0.01,0.008,0.008,0.008,0.008,0.008,0.007
364,0.001,0.01,0.01,0.01,0.007,0.009,0.01,0.008,0.008,0.008,0.008,0.008,0.007
365,0.001,0.01,0.01,0.01,0.007,0.009,0.01,0.008,0.008,0.007,0.008,0.008,0.007
366,0.001,0.01,0.01,0.01,0.007,0.009,0.01,0.008,0.008,0.007,0.008,0.008,0.007
367,0.001,0.01,0.01,0.01,0.007,0.008,0.009,0.008,0.008,0.007,0.008,0.007,0.007
368,0.001,0.009,0.01,0.009,0.007,0.008,0.009,0.008,0.007,0.007,0.007,0.007,0.006
369,0.001,0.009,0.01,0.009,0.007,0.008,0.009,0.007,0.007,0.007,0.007,0.007,0.006
370,0.001,0.009,0.01,0.009,0.007,0.008,0.009,0.008,0.007,0.007,0.007,0.007,0.006
371,0.001,0.009,0.01,0.009,0.007,0.008,0.009,0.007,0.007,0.007,0.007,0.007,0.006
372,0.001,0.009,0.009,0.009,0.006,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006
373,0.001,0.009,0.009,0.009,0.006,0.008,0.008,0.007,0.007,0.006,0.007,0.007,0.006
374,0.001,0.008,0.009,0.009,0.006,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005
375,0.001,0.008,0.009,0.009,0.006,0.007,0.008,0.007,0.007,0.006,0.007,0.006,0.005
376,0.001,0.008,0.009,0.009,0.006,0.007,0.008,0.007,0.006,0.006,0.006,0.006,0.005
377,0.001,0.008,0.009,0.009,0.006,0.007,0.008,0.006,0.006,0.006,0.006,0.006,0.005
378,0.001,0.008,0.009,0.009,0.006,0.007,0.008,0.007,0.006,0.006,0.006,0.006,0.005
379,0.001,0.008,0.008,0.008,0.006,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005
380,0.001,0.008,0.008,0.008,0.006,0.007,0.007,0.006,0.006,0.005,0.006,0.006,0.005
381,0.001,0.008,0.008,0.008,0.006,0.007,0.007,0.006,0.006,0.005,0.006,0.006,0.005
382,0.001,0.008,0.008,0.008,0.005,0.007,0.007,0.006,0.006,0.005,0.006,0.005,0.005
383,0.001,0.008,0.008,0.008,0.005,0.007,0.007,0.006,0.006,0.005,0.006,0.005,0.005
384,0.001,0.007,0.008,0.008,0.005,0.006,0.007,0.006,0.006,0.005,0.006,0.005,0.004
385,0.001,0.007,0.008,0.008,0.005,0.006,0.007,0.006,0.006,0.005,0.005,0.005,0.004
386,0.001,0.007,0.008,0.008,0.005,0.006,0.007,0.006,0.006,0.005,0.006,0.005,0.004
387,0.001,0.007,0.008,0.008,0.005,0.006,0.007,0.006,0.006,0.005,0.005,0.005,0.004
388,0.001,0.007,0.008,0.008,0.005,0.006,0.007,0.006,0.005,0.005,0.005,0.005,0.004
389,0.001,0.007,0.007,0.007,0.005,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004
390,0.001,0.007,0.007,0.007,0.005,0.006,0.006,0.005,0.005,0.004,0.005,0.005,0.004
391,0.001,0.007,0.007,0.007,0.005,0.006,0.006,0.005,0.005,0.004,0.005,0.004,0.004
392,0.001,0.006,0.007,0.007,0.004,0.006,0.006,0.005,0.005,0.004,0.005,0.004,0.004
393,0.001,0.006,0.007,0.007,0.004,0.006,0.006,0.005,0.005,0.004,0.005,0.004,0.004
394,0.001,0.006,0.007,0.007,0.004,0.006,0.006,0.005,0.005,0.004,0.005,0.004,0.004
