Wavelength,MilliQ,C19aug22_6m_r1,C19aug22_20m_r2,C19aug22_1_5m_r1,C29sep22_21m_r1,C19aug22_9m_r1,C19aug22_CCS_r2,C29sep22_9m_r2,C19aug22_0_1m_r2,C19aug22_SMB_r1,C29sep22_6m_r2
419,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
420,-0.002,0.002,0.008,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
421,-0.002,0.002,0.008,0.001,0.005,0.002,0.003,0.001,0.002,0.004,0
422,-0.002,0.002,0.008,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
423,-0.002,0.002,0.008,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
424,-0.002,0.002,0.008,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
425,-0.002,0.002,0.008,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
426,-0.002,0.002,0.008,0.001,0.005,0.003,0.003,0,0.002,0.004,0
427,-0.001,0.002,0.008,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0.001
428,-0.001,0.002,0.008,0.001,0.005,0.002,0.003,0,0.002,0.004,0
429,-0.002,0.001,0.008,0.001,0.005,0.002,0.003,0,0.001,0.004,0
430,-0.002,0.002,0.008,0.001,0.005,0.002,0.003,0,0.001,0.004,0
431,-0.001,0.002,0.008,0.001,0.005,0.002,0.003,0,0.002,0.004,0
432,-0.001,0.002,0.008,0.001,0.005,0.002,0.003,0.001,0.002,0.004,0
433,-0.001,0.002,0.008,0.001,0.005,0.002,0.003,0.001,0.002,0.004,0
434,-0.001,0.002,0.008,0.001,0.005,0.002,0.003,0,0.001,0.004,0
435,-0.001,0.002,0.008,0.001,0.005,0.002,0.003,0,0.001,0.004,0
436,-0.001,0.002,0.007,0.001,0.005,0.002,0.003,0,0.001,0.004,0
437,-0.001,0.002,0.007,0.001,0.005,0.002,0.003,0.001,0.001,0.004,0
438,-0.001,0.002,0.007,0.001,0.005,0.002,0.003,0.001,0.001,0.004,0
439,-0.001,0.002,0.007,0.001,0.005,0.002,0.003,0,0.001,0.004,0
440,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
441,-0.001,0.002,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
442,-0.001,0.002,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
443,-0.001,0.002,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
444,-0.001,0.002,0.007,0.001,0.005,0.002,0.002,0,0.001,0.004,0
445,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
446,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
447,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
448,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
449,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
450,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
451,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
452,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.003,0
453,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.003,0
454,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.003,0
455,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.003,0
456,-0.001,0.001,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
457,-0.001,0.002,0.007,0.001,0.004,0.002,0.002,0,0.001,0.004,0
458,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
459,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
460,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
461,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
462,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
463,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
464,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
